SYMBOL,OPEN,HIGH,LOW,PREVCLOSE,LTP,CHNG,CHANGPercentage,VOLUME,VALUE,fiftyTwo_WH,fiftyTwo_WL,TODAY,Date_Time
HDFCBANK,"1,670.00","1,677.25","1,659.00","1,666.65","1,661.95",-4.7,-0.28,"1,05,06,566","1,75,420.78","1,720.00","1,271.60",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng13.775.98,"Tuesday, April 18, 2023 2:04 PM"
BRITANNIA,"4,350.95","4,374.90","4,305.10","4,338.60","4,324.80",-13.8,-0.32,"1,33,729","5,808.00","4,669.20","3,132.05",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng29.52-0.55,"Tuesday, April 18, 2023 2:04 PM"
HINDUNILVR,"2,560.00","2,560.00","2,531.85","2,551.85","2,542.75",-9.1,-0.36,"9,25,806","23,545.93","2,741.60","2,047.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng18.574.27,"Tuesday, April 18, 2023 2:04 PM"
KOTAKBANK,"1,900.95","1,904.60","1,887.10","1,895.15","1,887.80",-7.35,-0.39,"20,39,220","38,701.74","1,997.55","1,631.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng6.4911.93,"Tuesday, April 18, 2023 2:04 PM"
TATAMOTORS,475.00,483.35,468.10,472.15,470.25,-1.9,-0.4,"1,31,22,612","62,518.75",494.40,366.20,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng9.5312.68,"Tuesday, April 18, 2023 2:04 PM"
HDFC,"2,751.00","2,754.70","2,726.00","2,742.05","2,730.55",-11.5,-0.42,"38,05,210","1,04,339.24","2,827.95","2,026.00",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng15.286.94,"Tuesday, April 18, 2023 2:04 PM"
TCS,"3,154.95","3,156.85","3,110.60","3,139.50","3,124.60",-14.9,-0.47,"15,14,264","47,331.05","3,644.00","2,926.10",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-14.27-1.25,"Tuesday, April 18, 2023 2:04 PM"
AXISBANK,865.35,872.00,857.10,864.55,860.40,-4.15,-0.48,"1,16,57,895","1,01,085.61",970.00,618.25,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng9.023.24,"Tuesday, April 18, 2023 2:04 PM"
M&M,"1,213.00","1,217.90","1,203.15","1,212.95","1,206.25",-6.7,-0.55,"11,23,509","13,577.27","1,397.00",853.70,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng40.053.54,"Tuesday, April 18, 2023 2:04 PM"
HDFCLIFE,537.00,540.00,530.15,533.40,530.45,-2.95,-0.55,"19,35,734","10,380.18",620.60,457.80,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-5.5713.19,"Tuesday, April 18, 2023 2:04 PM"
BHARTIARTL,765.00,765.00,752.55,759.65,755.30,-4.35,-0.57,"28,28,460","21,425.58",860.55,628.75,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng2.570.32,"Tuesday, April 18, 2023 2:04 PM"
ICICIBANK,907.95,907.95,894.10,901.30,896.10,-5.2,-0.58,"1,81,86,056","1,63,923.65",958.20,669.95,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng18.247.78,"Tuesday, April 18, 2023 2:04 PM"
BPCL,335.70,338.05,332.80,335.70,333.65,-2.05,-0.61,"22,10,227","7,408.46",398.80,288.05,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-11.42-4.47,"Tuesday, April 18, 2023 2:04 PM"
ITC,400.00,402.00,397.00,400.15,397.55,-2.6,-0.65,"73,08,330","29,226.74",402.00,249.15,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng48.456.55,"Tuesday, April 18, 2023 2:04 PM"
BAJAJFINSV,"1,340.00","1,348.70","1,330.55","1,341.15","1,331.60",-9.55,-0.71,"8,28,783","11,102.96","1,844.00","1,072.72",13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-91.663.03,"Tuesday, April 18, 2023 2:04 PM"
TATACONSUM,716.20,719.90,707.20,713.20,708.10,-5.1,-0.72,"7,51,409","5,358.97",861.15,686.60,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-12.770.99,"Tuesday, April 18, 2023 2:04 PM"
JSWSTEEL,720.05,725.00,712.40,721.20,715.05,-6.15,-0.85,"6,00,297","4,306.47",790.00,520.05,13-Apr-202217-Mar-2023Past 365 Days365 d % chngPast 30 Days30 d % chng-5.896.62,"Tuesday, April 18, 2023 2:04 PM"
